"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","SCHOOL_CODE_CHANGE_IND","Cluster","WEBSITE","PHONE_NUMBER","STREET","CITY","STATE","ZIP_CODE","TOTAL_ENROLL","GRADES","SSAS","SINGLESCORE","PCT_ASIAN","PCT_NATIVE","PCT_BLACK","PCT_HISPANIC","PCT_MULTI","PCT_WHITE","PCT_ED","PCT_SWD","PCT_LEP","CONTENT_MASTERYE","PROGRESSE","CLOSING_GAPE","READINESSE","CCRPISCOREE","THIRD_GRADE_READING","FIFTH_GRADE_READING","CONTENT_MASTERYM","PROGRESSM","CLOSING_GAPM","READINESSM","CCRPISCOREM","EIGHTH_GRADE_READING","CONTENT_MASTERYH","PROGRESSH","CLOSING_GAPH","READINESSH","GRADUATION_RATEH","CCRPISCOREH","ENGLISH_BEGH","ENGLISH_DEVH","ENGLISH_PROFH","ENGLISH_DISTH","MATH_BEGH","MATH_DEVH","MATH_PROFH","MATH_DISTH","SCIENCE_BEGH","SCIENCE_DEVH","SCIENCE_PROFH","SCIENCE_DISTH","SOC_BEGH","SOC_DEVH","SOC_PROFH","SOC_DISTH","COLLEGE_READINESS","ACCELERATED_COURSE_TAKING","FOUR_YEAR_GRADUATION_RATE","ENGLISH_BEGE","ENGLISH_DEVE","ENGLISH_PROFE","ENGLISH_DISTE","MATH_BEGE","MATH_DEVE","MATH_PROFE","MATH_DISTE","SCIENCE_BEGE","SCIENCE_DEVE","SCIENCE_PROFE","SCIENCE_DISTE","SOC_BEGE","SOC_DEVE","SOC_PROFE","SOC_DISTE","ENGLISH_BEGM","ENGLISH_DEVM","ENGLISH_PROFM","ENGLISH_DISTM","MATH_BEGM","MATH_DEVM","MATH_PROFM","MATH_DISTM","SCIENCE_BEGM","SCIENCE_DEVM","SCIENCE_PROFM","SCIENCE_DISTM","SOC_BEGM","SOC_DEVM","SOC_PROFM","SOC_DISTM","COLLEGEENROLLMENT","FINANCIALEFFICIENCY","SCHOOLCLIMATE","MOBILITY","PPE"
"2024","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","912.367.8630","2997 Blackshear Hwy","Baxley","GA","31513-4303","786","06, 07, 08","","65.0",".5","0","22.6","21.1","3.9","51.8",67.8,19.5,15.9,"","","","","","","","61.7","77.6","20.5","81","65.0","48.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3","36.9","30.4","5.4","12.4","42.6","34.6","10.4","42.5","29.7","20.8","7.1","26.1","34.1","30.1","9.7","","3.5","4","10.7","13375.28"
"2025","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","912.367.8630","2997 Blackshear Hwy","Baxley","GA","31513-4303","801","06, 07, 08","","80.0",".7","0","20.6","22.7","2.7","53.2",63.4,19.7,17.2,"","","","","","","","68.1","80","100","82.6","80.0","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","35.9","30.9","8.2","12.2","36.9","38.7","12.3","28.7","31.1","30.1","10.1","18.8","28","39.6","13.5","28.02","0.0","","10.1",""
"2018","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","(912)367-8642","678 Blackshear Hwy","Baxley","GA","31513","536","PK, KK, 01, 02","","66.1","1","0","29","24","4","41",57.3,18,21,"60.7","100","57.1","76.9","66.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3","37.4","24.5","5.8","16.8","36.8","37.4","9","","","","","","","","","","","","","","","","","","","","","","","","","","","4","13.6",""
"2019","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","(912)367-8642","678 Blackshear Hwy","Baxley","GA","31513","561","PK, KK, 01, 02","","60.0","1","0","25","24","4","45",56.4,16,21,"62.3","100","32.1","75.8","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","5","16.9","11790.95"
"2020","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","(912)367-8642","678 Blackshear Hwy","Baxley","GA","31513","579","PK, KK, 01, 02","","","0","0","27","24","4","45",54.4,11.4,20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","11996.39"
"2021","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","(912)367-8642","678 Blackshear Hwy","Baxley","GA","31513","547","PK, KK, 01, 02","","","1","0","25","23","5","47",58.3,12.9,20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.8","41.5","20.7","3.1","14.6","43.9","34.8","6.7","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","15.8","15325.98"
"2022","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","912.367.8642","678 Blackshear Hwy","Baxley","GA","31513-6709","566","PK, KK, 01, 02","","",".5","0","25","20.8","5.1","48.5",49.7,15.5,16.6,"68.1","92","","75.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","36.1","32.6","6.3","9","40.3","40.3","10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8","15074.26"
"2018","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","(912)367-3713","344 Altamaha School Rd","Baxley","GA","31513","388","PK, KK, 01, 02, 03, 04, 05","","70.6","1","0","7","7","3","82",36.2,17,5,"60.7","73.2","75","77.7","70.6","37.1","45.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6","44.6","23.9","4.9","11.4","48.4","37","3.3","16.7","40","33.3","10","10","65","23.3","1.7","","","","","","","","","","","","","","","","","","","4","8.3",""
"2019","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","(912) 367-3713","344 Altamaha School Road","Baxley","GA","31513","399","PK, KK, 01, 02, 03, 04, 05","","71.1","1","0","10","7","3","80",37.3,15,6,"59.9","90.2","35.7","80.9","71.1","50.8","52.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7","38.7","30.4","7.2","17","44.3","32","6.7","28.6","39.7","28.6","3.2","12.7","73","11.1","3.2","","","","","","","","","","","","","","","","","","3.5","4","10.6","9510.28"
"2020","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","(912) 367-3713","344 Altamaha School Road","Baxley","GA","31513","380","PK, KK, 01, 02, 03, 04, 05","","","0","0","7","7","3","83",34.3,14.7,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","10251.62"
"2021","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","(912) 367-3713","344 Altamaha School Road","Baxley","GA","31513","374","PK, KK, 01, 02, 03, 04, 05","","","0","0","6","7","4","83",35.4,13.2,5,"","","","","","41.9","53.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6","41.6","23.1","4.6","21.1","46.3","27.4","5.1","38.1","31.8","23.8","6.4","","","","","","","","","","","","","","","","","","","","","","","","11.6","12733.27"
