"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","Cluster","SINGLESCORE","CONTENT_MASTERYE","PROGRESSE","CLOSING_GAPE","READINESSE","CCRPISCOREE","CONTENT_MASTERYM","PROGRESSM","CLOSING_GAPM","READINESSM","CCRPISCOREM","CONTENT_MASTERYH","PROGRESSH","CLOSING_GAPH","READINESSH","GRADUATION_RATEH","CCRPISCOREH"
"2021","SCHOOL","7020184","Middle Georgia RESA","702","Monroe County","Mary Persons High School","0184","H","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7020184","Middle Georgia RESA","702","Monroe County","Mary Persons High School","0184","H","","","","","","","","","","","","73.5","TFS","","77.5","93.1",""
"2023","SCHOOL","7020184","Middle Georgia RESA","702","Monroe County","Mary Persons High School","0184","H","75.7","","","","","","","","","","","75.7","75.8","47.6","75.7","94","75.7"
"2024","SCHOOL","7020184","Middle Georgia RESA","702","Monroe County","Mary Persons High School","0184","H","86.9","","","","","","","","","","","80.9","94.4","82.4","80.3","93.1","86.9"
"2025","SCHOOL","7020184","Middle Georgia RESA","702","Monroe County","Mary Persons High School","0184","H","85.3","","","","","","","","","","","82.4","92.2","69.1","80.4","93.3","85.3"
"2018","SCHOOL","7020205","Middle Georgia RESA","702","Monroe County","Samuel E. Hubbard Elementary School","0205","E","82.5","69.1","91.4","90","81.6","82.5","","","","","","","","","","",""
"2019","SCHOOL","7020205","Middle Georgia RESA","702","Monroe County","Samuel E. Hubbard Elementary School","0205","E","89.6","80.5","95","100","85.9","89.6","","","","","","","","","","",""
"2020","SCHOOL","7020205","Middle Georgia RESA","702","Monroe County","Samuel E. Hubbard Elementary School","0205","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7020205","Middle Georgia RESA","702","Monroe County","Samuel E. Hubbard Elementary School","0205","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7020205","Middle Georgia RESA","702","Monroe County","Samuel E. Hubbard Elementary School","0205","E","","78.2","TFS","","77.7","","","","","","","","","","","",""
"2023","SCHOOL","7020205","Middle Georgia RESA","702","Monroe County","Samuel E. Hubbard Elementary School","0205","E","75.4","77.5","88.4","21.4","89.8","75.4","","","","","","","","","","",""
"2024","SCHOOL","7020205","Middle Georgia RESA","702","Monroe County","Samuel E. Hubbard Elementary School","0205","E","91.1","85.6","92.1","100","90.9","91.1","","","","","","","","","","",""
"2025","SCHOOL","7020205","Middle Georgia RESA","702","Monroe County","Samuel E. Hubbard Elementary School","0205","E","69.8","78.9","77.6","6.7","89.9","69.8","","","","","","","","","","",""
"2018","DISTRICT","703","Heart of Georgia RESA","703","Montgomery County","Montgomery County","703","EMH","75.8","46.5","64.9","55","75.3","60.0","52.7","96.1","72.5","78.8","76.1","51.1","69.2","91.2","66.7","89.8","68.7"
"2019","DISTRICT","703","Heart of Georgia RESA","703","Montgomery County","Montgomery County","703","EMH","75.8","59.7","69.7","100","67.8","70.9","63.1","100","100","82.3","85.4","63.3","86.5","86.1","74.7","68.2","75.0"
"2020","DISTRICT","703","Heart of Georgia RESA","703","Montgomery County","Montgomery County","703","EMH","","","","","","","","","","","","","","","","",""
"2021","DISTRICT","703","Heart of Georgia RESA","703","Montgomery County","Montgomery County","703","EMH","","","","","","","","","","","","","","","","",""
"2022","DISTRICT","703","Heart of Georgia RESA","703","Montgomery County","Montgomery County","703","EMH","","49.9","68.8","","72.3","","65.5","TFS","","75.3","","55.3","TFS","","71.3","98.1",""
"2023","DISTRICT","703","Heart of Georgia RESA","703","Montgomery County","Montgomery County","703","EMH","71.1","55.2","73.1","66.7","81.2","68.4","66.6","97.3","66.7","82","80.5","63.5","51.5","78.1","73.7","92.3","67.3"
"2024","DISTRICT","703","Heart of Georgia RESA","703","Montgomery County","Montgomery County","703","EMH","65.2","57.5","72.5","88.9","83","72.6","62.4","78.1","0","86","63.2","59.1","32.4","45.8","71.3","89.2","56.1"
"2025","DISTRICT","703","Heart of Georgia RESA","703","Montgomery County","Montgomery County","703","EMH","57.5","51.6","68.6","12.5","80.7","62.6","59.6","79.4","16.7","85.5","62.6","64.6","48.5","81.3","80.1","94.3","62.6"
"2018","SCHOOL","7030101","Heart of Georgia RESA","703","Montgomery County","Montgomery County Middle School","0101","M","76.1","","","","","","52.7","96.1","72.5","78.8","76.1","","","","","",""
"2019","SCHOOL","7030101","Heart of Georgia RESA","703","Montgomery County","Montgomery County Middle School","0101","M","85.4","","","","","","63.1","100","100","82.3","85.4","","","","","",""
"2020","SCHOOL","7030101","Heart of Georgia RESA","703","Montgomery County","Montgomery County Middle School","0101","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7030101","Heart of Georgia RESA","703","Montgomery County","Montgomery County Middle School","0101","M","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7030101","Heart of Georgia RESA","703","Montgomery County","Montgomery County Middle School","0101","M","","","","","","","65.5","TFS","","75.3","","","","","","",""
"2023","SCHOOL","7030101","Heart of Georgia RESA","703","Montgomery County","Montgomery County Middle School","0101","M","80.5","","","","","","66.6","97.3","66.7","82","80.5","","","","","",""
"2024","SCHOOL","7030101","Heart of Georgia RESA","703","Montgomery County","Montgomery County Middle School","0101","M","63.2","","","","","","62.4","78.1","0","86","63.2","","","","","",""
"2025","SCHOOL","7030101","Heart of Georgia RESA","703","Montgomery County","Montgomery County Middle School","0101","M","65.3","","","","","","59.6","79.4","16.7","85.5","65.3","","","","","",""
"2018","SCHOOL","7030107","Heart of Georgia RESA","703","Montgomery County","Montgomery County Elementary School","0107","E","60.0","46.5","64.9","55","75.3","60.0","","","","","","","","","","",""
"2019","SCHOOL","7030107","Heart of Georgia RESA","703","Montgomery County","Montgomery County Elementary School","0107","E","70.9","59.7","69.7","100","67.8","70.9","","","","","","","","","","",""
"2020","SCHOOL","7030107","Heart of Georgia RESA","703","Montgomery County","Montgomery County Elementary School","0107","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7030107","Heart of Georgia RESA","703","Montgomery County","Montgomery County Elementary School","0107","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7030107","Heart of Georgia RESA","703","Montgomery County","Montgomery County Elementary School","0107","E","","49.9","68.8","","72.3","","","","","","","","","","","",""
"2023","SCHOOL","7030107","Heart of Georgia RESA","703","Montgomery County","Montgomery County Elementary School","0107","E","68.4","55.2","73.1","66.7","81.2","68.4","","","","","","","","","","",""
"2024","SCHOOL","7030107","Heart of Georgia RESA","703","Montgomery County","Montgomery County Elementary School","0107","E","72.6","57.5","72.5","88.9","83","72.6","","","","","","","","","","",""
"2025","SCHOOL","7030107","Heart of Georgia RESA","703","Montgomery County","Montgomery County Elementary School","0107","E","57.5","51.6","68.6","12.5","80.7","57.5","","","","","","","","","","",""
"2018","SCHOOL","7030201","Heart of Georgia RESA","703","Montgomery County","Montgomery County High School","0201","H","68.7","","","","","","","","","","","51.1","69.2","91.2","66.7","89.8","68.7"
"2019","SCHOOL","7030201","Heart of Georgia RESA","703","Montgomery County","Montgomery County High School","0201","H","78.8","","","","","","","","","","","63.3","86.5","86.1","74.7","93.5","78.8"
"2020","SCHOOL","7030201","Heart of Georgia RESA","703","Montgomery County","Montgomery County High School","0201","H","","","","","","","","","","","","","","","","84.5",""
"2021","SCHOOL","7030201","Heart of Georgia RESA","703","Montgomery County","Montgomery County High School","0201","H","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7030201","Heart of Georgia RESA","703","Montgomery County","Montgomery County High School","0201","H","","","","","","","","","","","","55.3","TFS","","71.3","98.1",""
"2023","SCHOOL","7030201","Heart of Georgia RESA","703","Montgomery County","Montgomery County High School","0201","H","67.3","","","","","","","","","","","63.5","51.5","78.1","73.7","92.3","67.3"
"2024","SCHOOL","7030201","Heart of Georgia RESA","703","Montgomery County","Montgomery County High School","0201","H","56.1","","","","","","","","","","","59.1","32.4","45.8","71.3","89.2","56.1"
"2025","SCHOOL","7030201","Heart of Georgia RESA","703","Montgomery County","Montgomery County High School","0201","H","68.2","","","","","","","","","","","64.6","48.5","81.3","80.1","94.3","68.2"
"2018","DISTRICT","704","Northeast Georgia RESA","704","Morgan County","Morgan County","704","EMH","77.7","76.8","87.4","90.4","82.1","83.6","73.7","90.2","100","85.7","85.8","63.2","74.4","47.9","83","90.7","72.1"
"2019","DISTRICT","704","Northeast Georgia RESA","704","Morgan County","Morgan County","704","EMH","77.7","74.9","83.3","30.4","81.7","72.5","79.2","91.5","78.9","80","83.6","69","78.2","100","82.3","91.4","80.2"
"2020","DISTRICT","704","Northeast Georgia RESA","704","Morgan County","Morgan County","704","EMH","","","","","","","","","","","","","","","","",""
"2021","DISTRICT","704","Northeast Georgia RESA","704","Morgan County","Morgan County","704","EMH","","","","","","","","","","","","","","","","",""
"2022","DISTRICT","704","Northeast Georgia RESA","704","Morgan County","Morgan County","704","EMH","","73.8","85.7","","73.9","","67.6","39.5","","76.5","","73.4","TFS","","82.3","95.8",""
"2023","DISTRICT","704","Northeast Georgia RESA","704","Morgan County","Morgan County","704","EMH","73.9","74.4","85.8","52.4","85.9","77.4","67.3","87","36.5","86.2","73.4","73.5","53.6","39.6","83.7","95.1","69.1"
"2024","DISTRICT","704","Northeast Georgia RESA","704","Morgan County","Morgan County","704","EMH","81.0","80.1","93.3","75","86.2","85.1","72","79.2","77.8","87","78.4","78.6","55","100","83.3","93.8","76.7"
"2025","DISTRICT","704","Northeast Georgia RESA","704","Morgan County","Morgan County","704","EMH","78.3","76.2","83","61.4","85.9","76.1","70.7","84.6","57.1","86.8","76.1","75","62.8","47.6","83.1","93.5","76.1"
"2018","SCHOOL","7040191","Northeast Georgia RESA","704","Morgan County","Morgan County Elementary School","0191","E","83.6","76.8","87.3","90.4","82.4","83.6","","","","","","","","","","",""
"2019","SCHOOL","7040191","Northeast Georgia RESA","704","Morgan County","Morgan County Elementary School","0191","E","72.0","74.9","81.4","30.4","82.2","72.0","","","","","","","","","","",""
"2020","SCHOOL","7040191","Northeast Georgia RESA","704","Morgan County","Morgan County Elementary School","0191","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7040191","Northeast Georgia RESA","704","Morgan County","Morgan County Elementary School","0191","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7040191","Northeast Georgia RESA","704","Morgan County","Morgan County Elementary School","0191","E","","73.8","88.9","","73.7","","","","","","","","","","","",""
"2023","SCHOOL","7040191","Northeast Georgia RESA","704","Morgan County","Morgan County Elementary School","0191","E","77.6","74.4","85.8","52.4","87.1","77.6","","","","","","","","","","",""
"2024","SCHOOL","7040191","Northeast Georgia RESA","704","Morgan County","Morgan County Elementary School","0191","E","85.7","80.1","94.3","75","87.1","85.7","","","","","","","","","","",""
"2025","SCHOOL","7040191","Northeast Georgia RESA","704","Morgan County","Morgan County Elementary School","0191","E","78.4","76.2","83.1","61.4","86.3","78.4","","","","","","","","","","",""
"2018","SCHOOL","7041050","Northeast Georgia RESA","704","Morgan County","Morgan County High School","1050","H","72.1","","","","","","","","","","","63.2","74.4","47.9","83","90.7","72.1"
"2019","SCHOOL","7041050","Northeast Georgia RESA","704","Morgan County","Morgan County High School","1050","H","80.2","","","","","","","","","","","69","78.2","100","82.3","91.4","80.2"
"2020","SCHOOL","7041050","Northeast Georgia RESA","704","Morgan County","Morgan County High School","1050","H","","","","","","","","","","","","","","","","92",""
"2021","SCHOOL","7041050","Northeast Georgia RESA","704","Morgan County","Morgan County High School","1050","H","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7041050","Northeast Georgia RESA","704","Morgan County","Morgan County High School","1050","H","","","","","","","","","","","","73.4","TFS","","82.3","95.8",""
"2023","SCHOOL","7041050","Northeast Georgia RESA","704","Morgan County","Morgan County High School","1050","H","69.1","","","","","","","","","","","73.5","53.6","39.6","83.7","95.1","69.1"
"2024","SCHOOL","7041050","Northeast Georgia RESA","704","Morgan County","Morgan County High School","1050","H","76.7","","","","","","","","","","","78.6","55","100","83.3","93.8","76.7"
"2025","SCHOOL","7041050","Northeast Georgia RESA","704","Morgan County","Morgan County High School","1050","H","72.6","","","","","","","","","","","75","62.8","47.6","83.1","93.5","72.6"
"2018","SCHOOL","7043050","Northeast Georgia RESA","704","Morgan County","Morgan County Primary School","3050","E","71.8","72.7","76.3","60","80","71.8","","","","","","","","","","",""
"2019","SCHOOL","7043050","Northeast Georgia RESA","704","Morgan County","Morgan County Primary School","3050","E","76.2","81","100","60","80.7","76.2","","","","","","","","","","",""
"2020","SCHOOL","7043050","Northeast Georgia RESA","704","Morgan County","Morgan County Primary School","3050","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7043050","Northeast Georgia RESA","704","Morgan County","Morgan County Primary School","3050","E","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7043050","Northeast Georgia RESA","704","Morgan County","Morgan County Primary School","3050","E","","73.4","82.4","","73.7","","","","","","","","","","","",""
"2023","SCHOOL","7043050","Northeast Georgia RESA","704","Morgan County","Morgan County Primary School","3050","E","77.2","75.9","100","65","86.7","77.2","","","","","","","","","","",""
"2024","SCHOOL","7043050","Northeast Georgia RESA","704","Morgan County","Morgan County Primary School","3050","E","82.1","81.1","76.9","80","85.5","82.1","","","","","","","","","","",""
"2025","SCHOOL","7043050","Northeast Georgia RESA","704","Morgan County","Morgan County Primary School","3050","E","71.3","74.5","91.2","45","86.8","71.3","","","","","","","","","","",""
"2018","SCHOOL","7045050","Northeast Georgia RESA","704","Morgan County","Morgan County Middle School","5050","M","85.8","","","","","","73.7","90.2","100","85.7","85.8","","","","","",""
"2019","SCHOOL","7045050","Northeast Georgia RESA","704","Morgan County","Morgan County Middle School","5050","M","83.6","","","","","","79.2","91.5","78.9","80","83.6","","","","","",""
"2020","SCHOOL","7045050","Northeast Georgia RESA","704","Morgan County","Morgan County Middle School","5050","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7045050","Northeast Georgia RESA","704","Morgan County","Morgan County Middle School","5050","M","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7045050","Northeast Georgia RESA","704","Morgan County","Morgan County Middle School","5050","M","","","","","","","67.6","39.5","","76.5","","","","","","",""
"2023","SCHOOL","7045050","Northeast Georgia RESA","704","Morgan County","Morgan County Middle School","5050","M","73.4","","","","","","67.3","87","36.5","86.2","73.4","","","","","",""
"2024","SCHOOL","7045050","Northeast Georgia RESA","704","Morgan County","Morgan County Middle School","5050","M","78.4","","","","","","72","79.2","77.8","87","78.4","","","","","",""
"2025","SCHOOL","7045050","Northeast Georgia RESA","704","Morgan County","Morgan County Middle School","5050","M","76.7","","","","","","70.7","84.6","57.1","86.8","76.7","","","","","",""
"2018","DISTRICT","705","North Georgia RESA","705","Murray County","Murray County","705","EMH","67.3","60.5","84.9","31.3","76.8","67.9","62.8","77.8","60.4","76.4","70.4","62.6","71.7","68.8","71.3","91.3","71.6"
"2019","DISTRICT","705","North Georgia RESA","705","Murray County","Murray County","705","EMH","67.3","57.2","72.5","37.5","72.2","62.6","62.2","75.9","50","77.2","68.2","66.6","67.8","85.4","69.4","94.4","73.4"
"2020","DISTRICT","705","North Georgia RESA","705","Murray County","Murray County","705","EMH","","","","","","","","","","","","","","","","",""
"2021","DISTRICT","705","North Georgia RESA","705","Murray County","Murray County","705","EMH","","","","","","","","","","","","","","","","",""
"2022","DISTRICT","705","North Georgia RESA","705","Murray County","Murray County","705","EMH","","59.7","100.00+","","69.9","","55.9","47.9","","70.5","","61.1","61.5","","64.5","94.2",""
"2023","DISTRICT","705","North Georgia RESA","705","Murray County","Murray County","705","EMH","66.2","57.9","80.8","15","79.2","63.8","57.5","84.4","64.6","80.6","72.6","56.2","63.3","52.1","62.8","95.1","64.8"
"2024","DISTRICT","705","North Georgia RESA","705","Murray County","Murray County","705","EMH","73.0","61.3","88.9","69.2","80.6","76.0","60.8","79.3","79","82.1","74.2","56.1","69.3","66.7","63.8","95.3","68.2"
"2025","DISTRICT","705","North Georgia RESA","705","Murray County","Murray County","705","EMH","77.5","62","82.4","92.5","81.1","75.0","62.3","79.2","84.6","80.6","75.0","59.7","70.1","85.4","65.5","94","75.0"
"2018","SCHOOL","7050104","North Georgia RESA","705","Murray County","Woodlawn Elementary School","0104","EM","65.6","66.7","76.4","31","82.3","67.9","55.5","53.2","18.8","82.3","54.6","","","","","",""
"2019","SCHOOL","7050104","North Georgia RESA","705","Murray County","Woodlawn Elementary School","0104","EM","65.3","61.6","73.4","34.1","79.6","65.2","60","57.1","75","83.4","65.9","","","","","",""
"2020","SCHOOL","7050104","North Georgia RESA","705","Murray County","Woodlawn Elementary School","0104","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7050104","North Georgia RESA","705","Murray County","Woodlawn Elementary School","0104","EM","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7050104","North Georgia RESA","705","Murray County","Woodlawn Elementary School","0104","EM","","64.2","100.00+","","72.2","","55.8","TFS","","69.3","","","","","","",""
"2023","SCHOOL","7050104","North Georgia RESA","705","Murray County","Woodlawn Elementary School","0104","EM","70.7","61.6","85.1","21.9","81.4","67.9","68.9","94.2","100","82.3","85.2","","","","","",""
"2024","SCHOOL","7050104","North Georgia RESA","705","Murray County","Woodlawn Elementary School","0104","EM","78.4","60.6","99.1","60","81.3","78.2","71.4","93.7","50","87.4","79.2","","","","","",""
"2025","SCHOOL","7050104","North Georgia RESA","705","Murray County","Woodlawn Elementary School","0104","EM","79.8","59.3","92.1","93.3","78.9","79.8","70.4","100","50","81.5","79.8","","","","","",""
"2018","SCHOOL","7050108","North Georgia RESA","705","Murray County","Pleasant Valley Innovative School","0108","MH","50.4","","","","","","","","","28.8","","15.8","92.9","66.7","18.7","55.6","50.4"
"2019","SCHOOL","7050108","North Georgia RESA","705","Murray County","Pleasant Valley Innovative School","0108","MH","39.8","","","","","","TFS","TFS","","50.6","","19.7","39.3","88.9","18.6","69.4","39.8"
"2020","SCHOOL","7050108","North Georgia RESA","705","Murray County","Pleasant Valley Innovative School","0108","H","","","","","","","","","","","","","","","","81.8",""
"2021","SCHOOL","7050108","North Georgia RESA","705","Murray County","Pleasant Valley Innovative School","0108","MH","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7050108","North Georgia RESA","705","Murray County","Pleasant Valley Innovative School","0108","MH","","","","","","","TFS","","","52.8","","40.6","TFS","","22.5","72.7",""
"2023","SCHOOL","7050108","North Georgia RESA","705","Murray County","Pleasant Valley Innovative School","0108","MH","56.3","","","","","","TFS","TFS","NA","53.6","","39.8","TFS","100","26.9","","56.3"
"2024","SCHOOL","7050108","North Georgia RESA","705","Murray County","Pleasant Valley Innovative School","0108","MH","32.9","","","","","","TFS","TFS","NA","68.3","","22.4","TFS","0","18.8","89.8","32.9"
"2025","SCHOOL","7050108","North Georgia RESA","705","Murray County","Pleasant Valley Innovative School","0108","MH","28.6","","","","","","TFS","TFS","NA","TFS","28.6","10.5","TFS","0","23.8","88.6","28.6"
"2018","SCHOOL","7050112","North Georgia RESA","705","Murray County","North Murray High School","0112","H","71.3","","","","","","","","","","","63.7","72.1","42.9","78.9","96.5","71.3"
"2019","SCHOOL","7050112","North Georgia RESA","705","Murray County","North Murray High School","0112","H","72.2","","","","","","","","","","","66.4","64.2","75","72.9","97.2","72.2"
"2020","SCHOOL","7050112","North Georgia RESA","705","Murray County","North Murray High School","0112","H","","","","","","","","","","","","","","","","98.2",""
"2021","SCHOOL","7050112","North Georgia RESA","705","Murray County","North Murray High School","0112","H","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7050112","North Georgia RESA","705","Murray County","North Murray High School","0112","H","","","","","","","","","","","","68.3","73.1","","74.8","95.8",""
"2023","SCHOOL","7050112","North Georgia RESA","705","Murray County","North Murray High School","0112","H","68.6","","","","","","","","","","","62.5","67.8","42.5","71.5","96.4","68.6"
"2024","SCHOOL","7050112","North Georgia RESA","705","Murray County","North Murray High School","0112","H","70.6","","","","","","","","","","","61.8","85","16.7","71.2","94.8","70.6"
"2025","SCHOOL","7050112","North Georgia RESA","705","Murray County","North Murray High School","0112","H","74.4","","","","","","","","","","","62.8","78.9","65","75.3","93.9","74.4"
"2018","SCHOOL","7050190","North Georgia RESA","705","Murray County","Murray County High School","0190","H","70.7","","","","","","","","","","","65.2","70.3","45.5","73.7","96.2","70.7"
"2019","SCHOOL","7050190","North Georgia RESA","705","Murray County","Murray County High School","0190","H","75.2","","","","","","","","","","","68.8","72.1","75","72.5","96.7","75.2"
"2020","SCHOOL","7050190","North Georgia RESA","705","Murray County","Murray County High School","0190","H","","","","","","","","","","","","","","","","96",""
"2021","SCHOOL","7050190","North Georgia RESA","705","Murray County","Murray County High School","0190","H","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7050190","North Georgia RESA","705","Murray County","Murray County High School","0190","H","","","","","","","","","","","","57.9","54","","63.2","96.7",""
"2023","SCHOOL","7050190","North Georgia RESA","705","Murray County","Murray County High School","0190","H","61.2","","","","","","","","","","","52.2","60.1","37.5","62.9","95.1","61.2"
"2024","SCHOOL","7050190","North Georgia RESA","705","Murray County","Murray County High School","0190","H","66.7","","","","","","","","","","","54.2","59.4","83.3","65.1","96.8","66.7"
"2025","SCHOOL","7050190","North Georgia RESA","705","Murray County","Murray County High School","0190","H","70.5","","","","","","","","","","","60","64.3","93.8","63.5","95.1","70.5"
"2018","SCHOOL","7050195","North Georgia RESA","705","Murray County","Coker Elementary School","0195","EM","74.1","58.6","82.8","100","74.8","76.5","44.5","63.5","58.3","75","59.3","","","","","",""
"2019","SCHOOL","7050195","North Georgia RESA","705","Murray County","Coker Elementary School","0195","EM","58.5","54.1","66.2","12.5","76.7","56.6","54.3","64.5","87.5","77.5","67.5","","","","","",""
"2020","SCHOOL","7050195","North Georgia RESA","705","Murray County","Coker Elementary School","0195","E","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7050195","North Georgia RESA","705","Murray County","Coker Elementary School","0195","EM","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7050195","North Georgia RESA","705","Murray County","Coker Elementary School","0195","EM","","62.6","100.00+","","69.7","","69.3","TFS","","68","","","","","","",""
"2023","SCHOOL","7050195","North Georgia RESA","705","Murray County","Coker Elementary School","0195","EM","57.3","48.7","57.7","20","76.1","53.0","72.9","92.2","100","81.2","85.4","","","","","",""
"2024","SCHOOL","7050195","North Georgia RESA","705","Murray County","Coker Elementary School","0195","EM","78.4","63","83.7","100","81.4","79.5","69.3","99.7","0","82.8","72.3","","","","","",""
"2025","SCHOOL","7050195","North Georgia RESA","705","Murray County","Coker Elementary School","0195","EM","65.6","62.7","64.8","53.9","80","68.0","69.6","100","58.3","79.7","68.0","","","","","",""
"2018","SCHOOL","7050198","North Georgia RESA","705","Murray County","Eton Elementary School","0198","EM","71.7","61.4","86.2","52.5","79.2","72.3","65.3","94.7","0","79.3","68.6","","","","","",""
"2019","SCHOOL","7050198","North Georgia RESA","705","Murray County","Eton Elementary School","0198","EM","58.4","52.9","57.1","8.3","78","52.7","78.7","90.8","100","84.5","87.3","","","","","",""
"2020","SCHOOL","7050198","North Georgia RESA","705","Murray County","Eton Elementary School","0198","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7050198","North Georgia RESA","705","Murray County","Eton Elementary School","0198","EM","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7050198","North Georgia RESA","705","Murray County","Eton Elementary School","0198","EM","","57.9","100.00+","","72.8","","61.4","TFS","","71.8","","","","","","",""
"2023","SCHOOL","7050198","North Georgia RESA","705","Murray County","Eton Elementary School","0198","EM","71.8","56.6","82.9","60","78.9","70.8","65.6","95.7","58.3","80.4","78.0","","","","","",""
"2024","SCHOOL","7050198","North Georgia RESA","705","Murray County","Eton Elementary School","0198","EM","58.3","47.7","70.2","0","78.5","54.6","62.3","96.6","83.3","82.4","81.5","","","","","",""
"2025","SCHOOL","7050198","North Georgia RESA","705","Murray County","Eton Elementary School","0198","EM","71.9","50.2","85","73.3","80.5","73.6","69.1","91.7","100","84.4","73.6","","","","","",""
"2018","SCHOOL","7050204","North Georgia RESA","705","Murray County","Bagley Middle School","0204","M","66.7","","","","","","63.6","75.5","37.5","77.9","66.7","","","","","",""
"2019","SCHOOL","7050204","North Georgia RESA","705","Murray County","Bagley Middle School","0204","M","71.5","","","","","","65.2","80.8","50","80.7","71.5","","","","","",""
"2020","SCHOOL","7050204","North Georgia RESA","705","Murray County","Bagley Middle School","0204","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7050204","North Georgia RESA","705","Murray County","Bagley Middle School","0204","M","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7050204","North Georgia RESA","705","Murray County","Bagley Middle School","0204","M","","","","","","","56.8","47.2","","74.7","","","","","","",""
"2023","SCHOOL","7050204","North Georgia RESA","705","Murray County","Bagley Middle School","0204","M","71.0","","","","","","58.5","77.3","68.8","79.9","71.0","","","","","",""
"2024","SCHOOL","7050204","North Georgia RESA","705","Murray County","Bagley Middle School","0204","M","69.0","","","","","","59.5","70.4","66.7","82.4","69.0","","","","","",""
"2025","SCHOOL","7050204","North Georgia RESA","705","Murray County","Bagley Middle School","0204","M","77.1","","","","","","64.3","74.7","100","83.2","77.1","","","","","",""
"2018","SCHOOL","7051050","North Georgia RESA","705","Murray County","Chatsworth Elementary School","1050","EM","65.5","58.3","77.2","36.4","75.9","65.2","57.1","83.3","35","79.7","67.5","","","","","",""
"2019","SCHOOL","7051050","North Georgia RESA","705","Murray County","Chatsworth Elementary School","1050","EM","61.9","57.4","72.9","37","76.1","63.5","50.4","68.1","0","75.3","54.0","","","","","",""
"2020","SCHOOL","7051050","North Georgia RESA","705","Murray County","Chatsworth Elementary School","1050","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7051050","North Georgia RESA","705","Murray County","Chatsworth Elementary School","1050","EM","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7051050","North Georgia RESA","705","Murray County","Chatsworth Elementary School","1050","EM","","54.8","95.8","","66.6","","53.2","25","","69.9","","","","","","",""
"2023","SCHOOL","7051050","North Georgia RESA","705","Murray County","Chatsworth Elementary School","1050","EM","67.5","52.4","83.8","29.4","79.5","65.3","60.9","100","95","76.8","83.0","","","","","",""
"2024","SCHOOL","7051050","North Georgia RESA","705","Murray County","Chatsworth Elementary School","1050","EM","81.6","62.2","90","100","80.5","81.3","59.6","100","100","78.7","83.6","","","","","",""
"2025","SCHOOL","7051050","North Georgia RESA","705","Murray County","Chatsworth Elementary School","1050","EM","83.9","69","89.2","100","84.7","82.6","56","96.9","50","81.3","82.6","","","","","",""
"2018","SCHOOL","7051052","North Georgia RESA","705","Murray County","Spring Place Elementary School","1052","EM","65.7","53.5","79.1","36.4","73.2","63.8","66","93.1","62.5","74.3","76.6","","","","","",""
"2019","SCHOOL","7051052","North Georgia RESA","705","Murray County","Spring Place Elementary School","1052","EM","69.1","56.1","76.7","77.3","75.7","70.4","56.7","88.4","0","71.9","62.3","","","","","",""
"2020","SCHOOL","7051052","North Georgia RESA","705","Murray County","Spring Place Elementary School","1052","M","","","","","","","","","","","","","","","","",""
"2021","SCHOOL","7051052","North Georgia RESA","705","Murray County","Spring Place Elementary School","1052","EM","","","","","","","","","","","","","","","","",""
"2022","SCHOOL","7051052","North Georgia RESA","705","Murray County","Spring Place Elementary School","1052","EM","","60.3","100.00+","","70.4","","52.8","TFS","","66.4","","","","","","",""
"2023","SCHOOL","7051052","North Georgia RESA","705","Murray County","Spring Place Elementary School","1052","EM","79.5","66.8","84","94.1","80.4","79.6","58.3","93.3","80","81.8","78.5","","","","","",""
"2024","SCHOOL","7051052","North Georgia RESA","705","Murray County","Spring Place Elementary School","1052","EM","71.9","63.3","78.7","54.6","81.5","71.0","57.1","86.3","100","80.8","78.5","","","","","",""
