SCHOOL_YEAR,SYSTEM_ID,ORIGINAL_SCHOOL_ID,CHANGE_TYPE,SYSTEM_ID2,NEW_ID,GRADES,CHANGE_DESC
2018-2019,737,3052,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,737,3052,9,Closure
2018-2019,737,3052,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,737,3052,9,Reconfiguration
2018-2019,737,4052,SCHOOL_SPECIAL_CASE_RECONFIGURE,737,4052,"K,1,2,3,4,5",Reconfiguration
2018-2019,737,5050,SCHOOL_SPECIAL_CASE_RECONFIGURE,737,5050,"K,1,2,3,4,5",Reconfiguration
2018-2019,737,5050,SCHOOL_SPECIAL_CASE_RECONFIGURE,737,5050,"K,1,2,3,4,5",Reconfiguration
2018-2019,754,0204,SCHOOL_MERGE,754,0204,,Merge
2019-2020,761,1068,SCHOOL_MERGE,761,1068,,Merge
2019-2020,761,3059,SCHOOL_MERGE,761,3059,,Merge
2019-2020,764,0100,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,764,0100,"4,5",Reconfiguration
2019-2020,764,0100,SCHOOL_SPECIAL_CASE_RECONFIGURE,764,0100,"1,2,3",Reconfiguration
2019-2020,764,0196,SCHOOL_SPECIAL_CASE_RECONFIGURE,764,0196,"PK,K",Reconfiguration
2018-2019,765,0305,SCHOOL_MERGE,765,0305,"PK,K,1,2,3,4,5",Merge
2020-2021,772,0110,SCHOOL_SPECIAL_CASE_RECONFIGURE,772,0110,"9,10,11,12",Reconfiguration
2020-2021,772,0201,SCHOOL_SPECIAL_CASE_RECONFIGURE,772,0201,"6,7,8",Reconfiguration
2021-2022,772,0201,SCHOOL_SPECIAL_CASE_RECONFIGURE,772,0201,,Reconfiguration
2021-2022,772,0379,SCHOOL_SPECIAL_CASE_NEW_SCHOOL,772,0379,"8,9",Reconfiguration
2020-2022,772,4050,SCHOOL_SPECIAL_CASE_RECONFIGURE,772,4050,"9,10,11,12",Reconfiguration
2021-2022,772,0377,SCHOOL_SPECIAL_CASE_RECONFIGURE,772,0377,"6,7",Reconfiguration
2019-2020,773,0105,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0105,"K,1,2",Reconfiguration
2019-2020,773,0105,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0105,3,Reconfiguration
2019-2020,773,0112,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0112,"K,1,2",Reconfiguration
2019-2020,773,0115,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0115,3,Reconfiguration
2019-2020,773,0115,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0115,"K,1,2",Reconfiguration
2019-2020,773,0112,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0112,"4,5",Reconfiguration
2019-2020,773,0212,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0212,"K,1,2",Reconfiguration
2019-2020,773,0212,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0212,3,Reconfiguration
2019-2020,773,0405,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0405,3,Reconfiguration
2019-2020,773,0405,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0405,"K,1,2",Reconfiguration
2019-2020,773,0405,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0405,3,Reconfiguration
2019-2020,773,0505,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0505,"K,1,2",Reconfiguration
2019-2020,773,0505,SCHOOL_SPECIAL_CASE_RECONFIGURE,773,0505,3,Reconfiguration
2019-2020,785,4052,SCHOOL_ID_CHANGE,785,4052,,ID Change
2019-2020,611,0117,SCHOOL_AUTHORIZATION,7830623,0117,,Charter Authorization
2019-2020,611,0805,SCHOOL_MERGE,611,0805,,Merge
2020-2021,611,1005,SCHOOL_ID_CHANGE,611,1005,,ID Change
2021-2022,615,0282,SCHOOL_MERGE,615,0282,,Merge
2019-2020,625,0191,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,625,0191,PK-8,Closure
2019-2020,625,0191,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,625,0191,"1,2,3,4,5",Reconfiguration
2019-2020,625,0191,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,625,0191,"PK,K",Reconfiguration
2019-2020,625,0191,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,625,0191,"6,7,8",Reconfiguration
2019-2020,625,0191,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,625,0191,"1,2,3,4,5",Reconfiguration
2019-2020,625,0511,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,625,0511,"PK,K",Reconfiguration
2019-2020,625,2068,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,625,2068,"PK,K",Reconfiguration
2021-2022,625,0515,SCHOOL_SPLIT,625,0515,,Split
2021-2022,625,0515,SCHOOL_SPLIT,625,0515,,Split
2018-2019,628,0409,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,628,0409,"PK,1,2,3,4,5",Reconfiguration
2018-2019,628,0409,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,628,0409,PK-5,Closure
2018-2019,628,0409,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,628,0409,"PK,1,2,3,4,5",Reconfiguration
2018-2019,631,0116,SCHOOL_SPLIT,631,0116,,Split
2018-2019,631,0116,SCHOOL_SPLIT,631,0116,,Split
2021-2022,631,0191,SCHOOL_MERGE,631,0191,,Merge
2020-2021,633,0102,SCHOOL_SPECIAL_CASE_RECONFIGURE,633,0102,"PK,1,2,3,4,5",Reconfiguration
2020-2021,633,0307,SCHOOL_SPECIAL_CASE_RECONFIGURE,633,0307,"PK,1,2,3,4,5",Reconfiguration
2020-2021,633,3054,SCHOOL_MERGE,633,3054,,Merge
2020-2021,633,3060,SCHOOL_MERGE,633,3060,,Merge
2019-2020,634,1919,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,634,1919,6,Reconfiguration
2019-2020,634,1919,SCHOOL_SPECIAL_CASE_RECONFIGURE,634,1919,"PK,1,2,3,4,5",Reconfiguration
2021-2022,643,0105,SCHOOL_SPECIAL_CASE_RECONFIGURE,643,0105,"PK,1,2",Reconfiguration
2021-2022,643,0191,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,643,0191,PK-4,Closure
2021-2022,643,0191,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,643,0191,"PK,1,2",Reconfiguration
2021-2022,643,2050,SCHOOL_SPECIAL_CASE_RECONFIGURE,643,2050,"6,7,8",Reconfiguration
2021-2022,643,2052,SCHOOL_SPECIAL_CASE_RECONFIGURE,643,2052,"3,4,5",Reconfiguration
2021-2022,643,3052,SCHOOL_SPECIAL_CASE_RECONFIGURE,643,3052,"PK,1,2",Reconfiguration
2021-2022,643,3052,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,643,3052,PK-4,Closure
2021-2022,643,4052,SCHOOL_SPECIAL_CASE_RECONFIGURE,643,4052,"PK,1,2",Reconfiguration
2021-2022,644,0410,SCHOOL_MERGE,644,0410,,Merge
2018-2019,657,0173,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,657,0173,PK-2,Closure
2018-2019,657,0173,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,0173,PK-2,Reconfiguration
2019-2020,657,0103,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,0103,"6,7",Reconfiguration
2019-2020,657,0103,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,0103,8,Reconfiguration
2020-2021,657,0203,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,0203,8,Reconfiguration
2020-2021,657,0203,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,0203,"6,7",Reconfiguration
2020-2021,657,0273,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,0273,8,Reconfiguration
2020-2021,657,0273,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,0273,"6,7",Reconfiguration
2020-2021,657,0303,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,0303,"6,7",Reconfiguration
2020-2021,657,0303,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,0303,8,Reconfiguration
2021-2022,657,0102,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,0102,"PK,1,2,3,4",Reconfiguration
2021-2022,657,0188,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,0188,"PK,1,2,3,4",Reconfiguration
2021-2022,657,0188,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,0188,5,Reconfiguration
2021-2022,657,0195,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,0195,"3,4",Reconfiguration
2021-2022,657,0195,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,0195,5,Reconfiguration
2021-2022,657,0199,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,0199,5,Reconfiguration
2021-2022,657,1050,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,1050,5,Reconfiguration
2021-2022,657,1050,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,1050,"PK,K,1,2,3,4",Reconfiguration
2021-2022,657,2052,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,2052,5,Reconfiguration
2021-2022,657,2052,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,2052,"PK,K,1,2,3,4",Reconfiguration
2021-2022,657,3050,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,3050,5,Reconfiguration
2021-2022,657,3050,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,3050,"PK,K,1,2,3,4",Reconfiguration
2021-2022,657,4054,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,657,4054,2,Reconfiguration
2021-2022,657,4054,SCHOOL_SPECIAL_CASE_RECONFIGURE,657,4054,"PK,K,1",Reconfiguration
2020-2021,659,2050,SCHOOL_MERGE,659,2050,,Merge
2019-2020,661,0103,SCHOOL_SPECIAL_CASE_RECONFIGURE,661,0103,"PK,K,1,2,3,4,5",Reconfiguration
2019-2020,661,0112,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,661,0112,5,Reconfiguration
2019-2020,661,0112,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,661,0112,6,Reconfiguration
2019-2020,661,0112,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,661,0112,"5,6",Closure
2019-2020,661,0112,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,661,0112,5,Reconfiguration
2019-2020,661,0112,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,661,0112,5,Reconfiguration
2019-2020,661,0113,SCHOOL_SPECIAL_CASE_RECONFIGURE,661,0113,"PK,K,1,2,3,4,5",Reconfiguration
2019-2020,661,0212,SCHOOL_SPECIAL_CASE_RECONFIGURE,661,0212,"PK,K,1,2,3,4,5",Reconfiguration
2018-2019,662,0196,SCHOOL_SPLIT,662,0196,,Split
2018-2019,662,0196,SCHOOL_SPLIT,662,0196,,Split
2018-2019,666,0201,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,666,0201,"6,7,8",Reconfiguration
2018-2019,666,0201,SCHOOL_SPECIAL_CASE_RECONFIGURE,666,0201,"K,1,2,3,4,5",Reconfiguration
2019-2020,666,0101,SCHOOL_SPECIAL_CASE_RECONFIGURE,666,0101,"4,5,6,7,8",Reconfiguration
2019-2020,666,0109,SCHOOL_SPLIT,666,0109,,Split
2019-2020,666,0109,SCHOOL_SPLIT,666,0109,,Split
2019-2020,666,0201,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,666,0201,"4,5",Reconfiguration
2019-2020,666,0201,SCHOOL_SPECIAL_CASE_RECONFIGURE,666,0201,"K,1,2,3",Reconfiguration
2019-2020,666,0301,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,666,0301,"4,5",Reconfiguration
2021-2022,666,0201,SCHOOL_SPECIAL_CASE_RECONFIGURE,666,0201,"4,5,6,7",Reconfiguration
2021-2022,666,0201,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,666,0201,8,Reconfiguration
2021-2022,666,0301,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,666,0301,"PK,1,2,3",Reconfiguration
2021-2022,666,0301,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,666,0301,"PK,K,1,2,3,4,5",Closure
2018-2019,669,0112,SCHOOL_SPLIT,669,0112,,Split
2018-2019,669,0112,SCHOOL_SPLIT,669,0112,,Split
2020-2021,676,1050,SCHOOL_SPLIT,676,1050,,Split
2023-2024,676,0117,SCHOOL_SPLIT,676,0117,"PK,K,1,2",Split
2023-2024,676,0117,SCHOOL_SPLIT,676,0117,"3,4,5",Split
2023-2024,660,1312,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,660,1312,"K,1,2,3,4,5",Closure
2023-2024,660,1313,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,660,1313,"6,7,8",Closure
2023-2024,676,4050,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,676,4050,"2,3,4,5,6,7,8",Closure
2023-2024,721,0290,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,721,0290,"PK,K,1,2,3,4,5",Closure
2023-2024,721,4762,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,721,4762,"PK,K,1,2,3,4,5",Closure
2023-2024,607,0301,NEW_SCHOOL,607,0301,"PK,K,1,2,3,4,5",New
2023-2024,761,1424,NEW_SCHOOL,761,1424,"PK,K,1,2,3,4,5",New
2023-2024,7820619,0619,NEW_SCHOOL,7820619,0619,6,New
2023-2024,7830638,0638,NEW_SCHOOL,7830638,0638,"K,1,2,3",New
2023-2024,7830639,0639,NEW_SCHOOL,7830639,0639,"K,1,2,3,4",New
2023-2024,7830640,0640,NEW_SCHOOL,7830640,0640,"5,6",New
2023-2024,7830644,0644,NEW_SCHOOL,7830644,0644,"5,6",New
2023-2024,7830645,0645,NEW_SCHOOL,7830645,0645,"K,1,2,3",New
2023-2024,7830646,0646,NEW_SCHOOL,7830646,0646,"K,1,2",New
2023-2024,7830647,0647,NEW_SCHOOL,7830647,0647,"PK,K,1,2,3,4,5",New
2023-2024,645,0293,SCHOOL_SPECIAL_CASE_RECONFIGURE,645,0293,"3,4,5",Reconfiguration
2023-2024,645,0294,SCHOOL_SPECIAL_CASE_RECONFIGURE,645,0294,"PK,K,1,2",Reconfiguration
2023-2024,678,0310,NEW_SCHOOL,678,0310,"6,7,8",New
2023-2024,708,0295,NEW_SCHOOL,708,0295,"6,7,8",New
2023-2024,711,0392,NEW_SCHOOL,711,0392,"7,8,9,10,11,12",New
