"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","SCHOOL_CODE_CHANGE_IND","Cluster","WEBSITE","PHONE_NUMBER","STREET","CITY","STATE","ZIP_CODE","TOTAL_ENROLL","GRADES","SSAS","SINGLESCORE","THIRD_GRADE_READING","FIFTH_GRADE_READING","EIGHTH_GRADE_READING","COLLEGE_READINESS","ACCELERATED_COURSE_TAKING","FOUR_YEAR_GRADUATION_RATE","COLLEGEENROLLMENT"
"2020","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","(912)367-8610","482 Blackshear Hwy","Baxley","GA","31513","1027","09, 10, 11, 12","","","","","","","","92.8","54.41"
"2021","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","(912)367-8610","482 Blackshear Hwy","Baxley","GA","31513","1049","09, 10, 11, 12","","","","","","69.3","53.4","87.5","52.55"
"2022","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","912.367.8610","482 Blackshear Hwy","Baxley","GA","31513-6708","1078","09, 10, 11, 12","","","","","","","53.3","92","46.82"
"2023","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","912.367.8610","482 Blackshear Hwy","Baxley","GA","31513-6708","1113","09, 10, 11, 12","","81.4","","","","58.1","100","93.7","56.3"
"2024","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","912.367.8610","482 Blackshear Hwy","Baxley","GA","31513-6708","1112","09, 10, 11, 12","","69.3","","","","67.1","100","93.8","49.58"
"2025","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","912.367.8610","482 Blackshear Hwy","Baxley","GA","31513-6708","1049","09, 10, 11, 12","","75.9","","","","70.3","100","99.2",""
"2018","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","(912)367-8640","680 Blackshear Hwy","Baxley","GA","31513","622","03, 04, 05","","71.8","40.6","37.1","","","","",""
"2019","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","(912)367-8640","680 Blackshear Hwy","Baxley","GA","31513","595","03, 04, 05","","69.4","39","45.6","","","","",""
"2020","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","(912)367-8640","680 Blackshear Hwy","Baxley","GA","31513","520","03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","(912)367-8640","680 Blackshear Hwy","Baxley","GA","31513","509","03, 04, 05","","","33","47.3","","","","",""
"2022","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","912.367.8640","680 Blackshear Hwy","Baxley","GA","31513-6709","544","03, 04, 05","","","47.7","49","","","","",""
"2023","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","912.367.8640","680 Blackshear Hwy","Baxley","GA","31513-6709","1133","PK, KK, 01, 02, 03, 04, 05","","80.3","52.6","52.4","","","","",""
"2024","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","912.367.8640","680 Blackshear Hwy","Baxley","GA","31513-6709","1090","PK, KK, 01, 02, 03, 04, 05","","71.5","47.9","54.6","","","","",""
"2025","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","912.367.8640","680 Blackshear Hwy","Baxley","GA","31513-6709","1033","PK, KK, 01, 02, 03, 04, 05","","68.8","49.7","46.4","","","","",""
"2018","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","(912)367-8630","2997 Blackshear Hwy","Baxley","GA","31513","818","06, 07, 08","","77.1","","","55.4","","","",""
"2019","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","(912)367-8630","2997 Blackshear Hwy","Baxley","GA","31513","859","06, 07, 08","","75.4","","","71.8","","","",""
"2020","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","(912)367-8630","2997 Blackshear Hwy","Baxley","GA","31513","867","06, 07, 08","","","","","","","","",""
"2021","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","(912)367-8630","2997 Blackshear Hwy","Baxley","GA","31513","875","06, 07, 08","","","","","46.4","","","",""
"2022","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","912.367.8630","2997 Blackshear Hwy","Baxley","GA","31513-4303","853","06, 07, 08","","","","","51.8","","","",""
"2023","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","912.367.8630","2997 Blackshear Hwy","Baxley","GA","31513-4303","775","06, 07, 08","","74.8","","","50.4","","","",""
"2024","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","912.367.8630","2997 Blackshear Hwy","Baxley","GA","31513-4303","786","06, 07, 08","","65.0","","","48.1","","","",""
"2025","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","912.367.8630","2997 Blackshear Hwy","Baxley","GA","31513-4303","801","06, 07, 08","","80.0","","","47","","","","28.02"
"2018","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","(912)367-8642","678 Blackshear Hwy","Baxley","GA","31513","536","PK, KK, 01, 02","","66.1","","","","","","",""
"2019","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","(912)367-8642","678 Blackshear Hwy","Baxley","GA","31513","561","PK, KK, 01, 02","","60.0","","","","","","",""
"2020","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","(912)367-8642","678 Blackshear Hwy","Baxley","GA","31513","579","PK, KK, 01, 02","","","","","","","","",""
"2021","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","(912)367-8642","678 Blackshear Hwy","Baxley","GA","31513","547","PK, KK, 01, 02","","","","","","","","",""
"2022","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","N","E","http://www.appling.k12.ga.us/","912.367.8642","678 Blackshear Hwy","Baxley","GA","31513-6709","566","PK, KK, 01, 02","","","","","","","","",""
"2018","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","(912)367-3713","344 Altamaha School Rd","Baxley","GA","31513","388","PK, KK, 01, 02, 03, 04, 05","","70.6","37.1","45.2","","","","",""
"2019","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","(912) 367-3713","344 Altamaha School Road","Baxley","GA","31513","399","PK, KK, 01, 02, 03, 04, 05","","71.1","50.8","52.4","","","","",""
"2020","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","(912) 367-3713","344 Altamaha School Road","Baxley","GA","31513","380","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","(912) 367-3713","344 Altamaha School Road","Baxley","GA","31513","374","PK, KK, 01, 02, 03, 04, 05","","","41.9","53.9","","","","",""
"2022","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","912.367.3713","344 Altamaha School Rd","Baxley","GA","31513-2670","354","PK, KK, 01, 02, 03, 04, 05","","","48.4","50","","","","",""
"2023","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","912.367.3713","344 Altamaha School Rd","Baxley","GA","31513-2670","352","PK, KK, 01, 02, 03, 04, 05","","82.2","57.7","46.7","","","","",""
"2024","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","912.367.3713","344 Altamaha School Rd","Baxley","GA","31513-2670","372","PK, KK, 01, 02, 03, 04, 05","","80.6","36.2","76.3","","","","",""
"2025","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","N","E","http://www.appling.k12.ga.us/","912.367.3713","344 Altamaha School Rd","Baxley","GA","31513-2670","354","PK, KK, 01, 02, 03, 04, 05","","68.2","49.1","55.8","","","","",""
"2018","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","N","E","http://www.appling.k12.ga.us/","(912)367-3250","13396 Blackshear Hwy","Surrency","GA","31563","198","PK, KK, 01, 02, 03, 04, 05","","76.9","35.7","51.9","","","","",""
"2019","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","N","E","http://www.appling.k12.ga.us/","(912) 367-3250","13396 Blackshear Hwy","Surrency","GA","31563","191","PK, KK, 01, 02, 03, 04, 05","Greatest Gains (Gold)","84.7","54.5","53.8","","","","",""
"2020","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","N","E","http://www.appling.k12.ga.us/","(912) 367-3250","13396 Blackshear Hwy","Surrency","GA","31563","160","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","N","E","http://www.appling.k12.ga.us/","(912) 367-3250","13396 Blackshear Hwy","Surrency","GA","31563","141","PK, KK, 01, 02, 03, 04, 05","","","42.1","51.9","","","","",""
"2022","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","N","E","http://www.appling.k12.ga.us/","912.367.3250","13396 Blackshear Hwy","Surrency","GA","31563-3114","139","PK, KK, 01, 02, 03, 04, 05","","","52.6","55","","","","",""
"2023","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","N","E","http://www.appling.k12.ga.us/","912.367.3250","13396 Blackshear Hwy","Surrency","GA","31563-3114","113","PK, KK, 01, 02, 03, 04, 05","","88.7","40","62.5","","","","",""
"2024","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","N","E","http://www.appling.k12.ga.us/","912.367.3250","13396 Blackshear Hwy","Surrency","GA","31563-3114","120","PK, KK, 01, 02, 03, 04, 05","","77.9","45.5","70.6","","","","",""
"2025","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","N","E","http://www.appling.k12.ga.us/","912.367.3250","13396 Blackshear Hwy","Surrency","GA","31563-3114","143","PK, KK, 01, 02, 03, 04, 05","","54.1","55.6","55.6","","","","",""
"2018","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","N","EMH","http://www.atkinson.k12.ga.us/","(912)422-7373","98 East Roberts Avenue","Pearson","GA","31642","1711","DISTRICT","","76.8","55.4","51.6","72.6","71.2","100","89.7",""
"2019","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","N","EMH","http://www.atkinson.k12.ga.us/","(912)422-7373","98 East Roberts Avenue","Pearson","GA","31642","1727","DISTRICT","","76.8","55.4","51.6","72.6","71.2","100","89.7","52.83"
"2020","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","N","EMH","http://www.atkinson.k12.ga.us/","(912)422-7373","98 East Roberts Avenue","Pearson","GA","31642","1702","DISTRICT","","","","","","","","91.9","48.72"
"2021","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","N","EMH","http://www.atkinson.k12.ga.us/","(912)422-7373","98 East Roberts Avenue","Pearson","GA","31642","1664","DISTRICT","","","46.7","42.1","57.9","62.5","55.4","94.2","40.52"
"2022","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","N","EMH","http://www.atkinson.k12.ga.us/","912-4227373","98 East Roberts Avenue","Pearson","GA","31642","1644","DISTRICT","","","43.6","54.3","56.3","","73.1","95.7","48.89"
"2023","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","N","EMH","http://www.atkinson.k12.ga.us/","912.422.3267","98 East Roberts Avenue","Pearson","GA","31642-5535","1635","DISTRICT","","81.9","52.1","61.6","60.2","85","100","97.9","44.68"
"2024","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","N","EMH","http://www.atkinson.k12.ga.us/","912.422-7373","98 East Roberts Avenue","Pearson","GA","31642","1620","DISTRICT","","82.3","38.7","63.3","64.2","86","100","94.7","40.74"
"2025","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","N","EMH","http://www.atkinson.k12.ga.us/","N/A","98 East Roberts Avenue","Pearson","GA","31642","1585","DISTRICT","","62.6","45.7","55.1","53.9","84.5","100","95.7","40.18"
"2018","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","N","H","http://www.atkinson.k12.ga.us/","(912)422-3267","145 Rebel Ln","Pearson","GA","31642","506","09, 10, 11, 12","","72.3","","","","79.2","96.2","88.5",""
"2019","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","N","H","http://www.atkinson.k12.ga.us/","(912)422-3267","145 Rebel Ln","Pearson","GA","31642","505","09, 10, 11, 12","","76.7","","","","71.2","100","89.7","54.72"
"2020","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","N","H","http://www.atkinson.k12.ga.us/","(912)422-3267","145 Rebel Ln","Pearson","GA","31642","486","09, 10, 11, 12","","","","","","","","91.9","49.57"
"2021","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","N","H","http://www.atkinson.k12.ga.us/","(912)422-3267","145 Rebel Ln","Pearson","GA","31642","478","09, 10, 11, 12","","","","","","62.5","55.4","94.2","40.51"
"2022","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","N","H","http://www.atkinson.k12.ga.us/","912.422.3267","145 Rebel Ln","Pearson","GA","31642-5535","453","09, 10, 11, 12","","","","","","","73.1","95.7","48.89"
"2023","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","N","H","http://www.atkinson.k12.ga.us/","912.422.3267","145 Rebel Ln","Pearson","GA","31642-5535","464","09, 10, 11, 12","","85.3","","","","85","100","97.9","44.68"
"2024","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","N","H","http://www.atkinson.k12.ga.us/","912.422.3267","145 Rebel Ln","Pearson","GA","31642-5535","468","09, 10, 11, 12","","86.2","","","","86","100","94.7","40.74"
"2025","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","N","H","http://www.atkinson.k12.ga.us/","912.422.3267","145 Rebel Ln","Pearson","GA","31642-5535","460","09, 10, 11, 12","","71.5","","","","84.5","100","95.7",""
"2018","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","N","M","http://www.atkinson.k12.ga.us/","(912)422-3267","145 Rebel Ln","Pearson","GA","31642","379","06, 07, 08","","62.7","","","64.5","","","",""
"2019","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","N","M","http://www.atkinson.k12.ga.us/","(912)422-3267","145 Rebel Ln","Pearson","GA","31642","408","06, 07, 08","","73.6","","","72.6","","","",""
"2020","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","N","M","http://www.atkinson.k12.ga.us/","(912)422-3267","145 Rebel Ln","Pearson","GA","31642","418","06, 07, 08","","","","","","","","",""
"2021","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","N","M","http://www.atkinson.k12.ga.us/","(912)422-3267","145 Rebel Ln","Pearson","GA","31642","394","06, 07, 08","","","","","57.9","","","",""
"2022","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","N","M","http://www.atkinson.k12.ga.us/","912.422.3267","145 Rebel Ln","Pearson","GA","31642-5535","397","06, 07, 08","","","","","56.3","","","",""
"2023","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","N","M","http://www.atkinson.k12.ga.us/","912.422.3267","145 Rebel Ln","Pearson","GA","31642-5535","384","06, 07, 08","","73.3","","","60.2","","","",""
"2024","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","N","M","http://www.atkinson.k12.ga.us/","912.422.3267","145 Rebel Ln","Pearson","GA","31642-5535","362","06, 07, 08","","73.9","","","64.2","","","",""
"2025","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","N","M","http://www.atkinson.k12.ga.us/","912.422.3267","145 Rebel Ln","Pearson","GA","31642-5535","358","06, 07, 08","","73.8","","","53.9","","","","40.18"
"2018","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","N","E","http://www.atkinson.k12.ga.us/","(912)534-5302","430 S. Vickers St.","Willacoochee","GA","31650","199","PK, KK, 01, 02, 03, 04, 05","","62.6","50","56.5","","","","",""
"2019","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","N","E","http://www.atkinson.k12.ga.us/","(912)534-5302","430 S. Vickers St.","Willacoochee","GA","31650","185","PK, KK, 01, 02, 03, 04, 05","","75.1","54.5","66.7","","","","",""
"2020","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","N","E","http://www.atkinson.k12.ga.us/","(912)534-5302","430 S. Vickers St.","Willacoochee","GA","31650","193","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","N","E","http://www.atkinson.k12.ga.us/","(912)534-5302","430 S. Vickers St.","Willacoochee","GA","31650","179","PK, KK, 01, 02, 03, 04, 05","","","63.2","50","","","","",""
"2022","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","N","E","http://www.atkinson.k12.ga.us/","912.534.5302","430 Vickers St S","Willacoochee","GA","31650-2313","161","PK, KK, 01, 02, 03, 04, 05","","","65.4","57.1","","","","",""
"2023","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","N","E","http://www.atkinson.k12.ga.us/","912.534.5302","430 Vickers St S","Willacoochee","GA","31650-2313","174","PK, KK, 01, 02, 03, 04, 05","","75.6","48.4","72.2","","","","",""
"2024","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","N","E","http://www.atkinson.k12.ga.us/","912.534.5302","430 Vickers St S","Willacoochee","GA","31650-2313","173","PK, KK, 01, 02, 03, 04, 05","","89.6","31.6","65.4","","","","",""
"2025","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","N","E","http://www.atkinson.k12.ga.us/","912.534.5302","430 Vickers St S","Willacoochee","GA","31650-2313","158","PK, KK, 01, 02, 03, 04, 05","","52.1","55","32","","","","",""
"2018","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","N","E","http://www.atkinson.k12.ga.us/","(912)422-3882","563 N King St","Pearson","GA","31642","627","PK, KK, 01, 02, 03, 04, 05","","70.6","42.6","52","","","","",""
"2019","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","N","E","http://www.atkinson.k12.ga.us/","(912)422-3882","563 N King St","Pearson","GA","31642","629","PK, KK, 01, 02, 03, 04, 05","","81.0","55.6","47.4","","","","",""
"2020","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","N","E","http://www.atkinson.k12.ga.us/","(912)422-3882","563 N King St","Pearson","GA","31642","605","PK, KK, 01, 02, 03, 04, 05","","","","","","","","",""
"2021","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","N","E","http://www.atkinson.k12.ga.us/","(912)422-3882","563 N King St","Pearson","GA","31642","613","PK, KK, 01, 02, 03, 04, 05","","","42.3","40.5","","","","",""
"2022","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","N","E","http://www.atkinson.k12.ga.us/","912.422.3882","563 King St N","Pearson","GA","31642-7444","633","PK, KK, 01, 02, 03, 04, 05","","","37.4","53.9","","","","",""
"2023","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","N","E","http://www.atkinson.k12.ga.us/","912.422.3882","563 King St N","Pearson","GA","31642-7444","613","PK, KK, 01, 02, 03, 04, 05","","84.9","53.4","59.3","","","","",""
"2024","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","N","E","http://www.atkinson.k12.ga.us/","912.422.3882","563 King St N","Pearson","GA","31642-7444","617","PK, KK, 01, 02, 03, 04, 05","","83.0","40","62.7","","","","",""
"2025","SCHOOL","6020190","Okefenokee RESA","602","Atkinson County","Pearson Elementary School","0190","N","E","http://www.atkinson.k12.ga.us/","912.422.3882","563 King St N","Pearson","GA","31642-7444","609","PK, KK, 01, 02, 03, 04, 05","","65.6","43.8","61.3","","","","",""
"2018","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","N","EMH","http://www.bcraiders.com/","(912)632-7363","102 W. 4th Street","Alma","GA","31510","2211","DISTRICT","","81.5","53.6","56.8","47.7","73.9","53.6","94.1",""
"2019","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","N","EMH","http://www.bcraiders.com/","(912)632-7363","102 W. 4th Street","Alma","GA","31510","2218","DISTRICT","","81.5","53.6","56.8","47.7","73.9","53.6","94.1","47.97"
"2020","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","N","EMH","http://www.bcraiders.com/","(912)632-7363","102 W. 4th Street","Alma","GA","31510","2146","DISTRICT","","","","","","","","92.9","52.99"
"2021","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","N","EMH","http://www.bcraiders.com/","(912)632-7363","102 W. 4th Street","Alma","GA","31510","2106","DISTRICT","","","44.8","64.6","57.1","79","48.3","95.9","46.1"
"2022","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","N","EMH","http://www.bcraiders.com/","912-6327363","102 W. 4th Street","Alma","GA","31510","2161","DISTRICT","","","49.7","62.8","49.2","","49","92.9","43.27"
"2023","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","N","EMH","http://www.bcraiders.com/","912.632.4765","102 W. 4th Street","Alma","GA","31510-1680","2186","DISTRICT","","79.6","53.4","56.8","57.9","77.6","92","97.2","43.56"
"2024","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","N","EMH","http://www.bcraiders.com/","912.632-7363","102 W. 4th Street","Alma","GA","31510","2163","DISTRICT","","81.9","47.9","58.1","62.1","83","82.8","97.4","41.67"
"2025","DISTRICT","603","Okefenokee RESA","603","Bacon County","Bacon County","603","N","EMH","http://www.bcraiders.com/","N/A","102 W. 4th Street","Alma","GA","31510","2151","DISTRICT","","69.5","46.9","50.4","58.8","82.7","95.8","93.8","22.14"
"2018","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102","N","E","http://www.bcraiders.com/","(912)632-4765","251 Cumberland Rd","Alma","GA","31510","542","PK, KK, 01, 02","","68.0","","","","","","",""
"2019","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102","N","E","http://www.bcraiders.com/","(912)632-4765","251 Cumberland Rd","Alma","GA","31510","520","PK, KK, 01, 02","","86.2","","","","","","",""
"2020","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102","N","E","http://www.bcraiders.com/","(912)632-4765","251 Cumberland Rd","Alma","GA","31510","517","PK, KK, 01, 02","","","","","","","","",""
"2021","SCHOOL","6030102","Okefenokee RESA","603","Bacon County","Bacon County Primary School","0102","N","E","http://www.bcraiders.com/","(912)632-4765","251 Cumberland Rd","Alma","GA","31510","483","PK, KK, 01, 02","","","","","","","","",""
